Código ID,Data ,Coordenada,Família,Gênero,Espécie,Nome popular,Classificação,Altura (m),Cap (cm),Dap (cm),Flor,Fruto,Tronco,Observação,Coletada
4/1,03/10/2024,,Lythraceae,Lagerstroemia,Lagerstroemia speciosa,resedá-gigante,exótica,8,71,23,sim,não ,,,
4/2,03/10/2024,,Fabaceae,Delonix,Delonix regia,flamboyant,exótica,10,177,56,sim,não ,,,
4/3,03/10/2024,,Bignoniaceae,Tabebuia,Tabebuia roseoalba (Ridl.) Sandwith,ipê-branco,nativa,9,87,28,sim,não ,,,
4/4,03/10/2024,,Anacardiaceae,Anacardium,Anacardium occidentale L.,cajú,nativa,8,57,18,não ,não ,,,
4/5,03/10/2024,,Anacardiaceae,Mangifera ,Mangifera indica L.,mangueira ,exótica,7,39,12,não ,não ,,,
4/6,03/10/2024,,Anacardiaceae,Anacardium,Anacardium occidentale L.,caju,nativa,3,16,5,não ,não ,,,
4/7,03/10/2024,,Sapindaceae,Sapindus,Sapindus saponaria L.,saboneteira,nativa,11,86,27,não ,sim,,,
4/8,03/10/2024,,Anacardiaceae,Anacardium,Anacardium occidentale L.,cajú,nativa,"2,5",42,13,não,não,,,
4/9,03/10/2024,,Anacardiaceae,Mangifera,Mangifera indica L.,mangueira,exótica ,10,121,39,sim,sim,,,
4/10,03/10/2024,,Lythraceae,Lagerstroemia,Lagerstroemia speciosa,resedá-gigante,exótixa,5,27,9,sim,não ,,,
4/11,03/10/2024,,Polygonaceae,Triplaris,Triplaris Gardneriana,pau de novato,nativa,10,68,22,inflorescência,não,,,
4/12,03/10/2024,,Polygonaceae,Triplaris,Triplaris Gardneriana,pau de novato,nativa,11,140,45,inflorescência ,não,,,
4/13,03/10/2024,,Polygonaceae,Triplaris,Triplaris gardneriana Wedd.,pau formiga,nativa ,14,132,42,não ,não ,,,
4/14,03/10/2024,,Bignoniaceae,Tabebuia,Tabebuia roseoalba (Ridl.) Sandwith,ipe branco,nativa,7,64,20,não ,não ,,,
